Дата;Дата с разбивкой по 30 минут;Прибыль на момент времени;Точка продаж
01.05.2022;2022-05-01 20:00:00.000;317,5;Точка продаж 21
01.05.2022;2022-05-01 20:30:00.000;245,5;Точка продаж 21
01.05.2022;2022-05-01 00:00:00.000;1 649,5;Точка продаж 22
01.05.2022;2022-05-01 00:30:00.000;172;Точка продаж 22
01.05.2022;2022-05-01 01:00:00.000;488,5;Точка продаж 22
01.05.2022;2022-05-01 04:00:00.000;254,5;Точка продаж 22
01.05.2022;2022-05-01 04:30:00.000;515,5;Точка продаж 22
01.05.2022;2022-05-01 05:00:00.000;975;Точка продаж 22
01.05.2022;2022-05-01 05:30:00.000;343;Точка продаж 22
01.05.2022;2022-05-01 06:00:00.000;1 095;Точка продаж 22
01.05.2022;2022-05-01 06:30:00.000;2 885,5;Точка продаж 22
01.05.2022;2022-05-01 07:00:00.000;5 580;Точка продаж 22
01.05.2022;2022-05-01 07:30:00.000;2 113;Точка продаж 22
01.05.2022;2022-05-01 08:00:00.000;1 988;Точка продаж 22
01.05.2022;2022-05-01 08:30:00.000;5 120;Точка продаж 22
01.05.2022;2022-05-01 09:00:00.000;3 566;Точка продаж 22
01.05.2022;2022-05-01 09:30:00.000;1 210,5;Точка продаж 22
01.05.2022;2022-05-01 10:00:00.000;1 840,5;Точка продаж 22
01.05.2022;2022-05-01 10:30:00.000;957,5;Точка продаж 22
01.05.2022;2022-05-01 11:00:00.000;1 396,5;Точка продаж 22
01.05.2022;2022-05-01 11:30:00.000;2 638;Точка продаж 22
01.05.2022;2022-05-01 12:00:00.000;5 942;Точка продаж 22
01.05.2022;2022-05-01 12:30:00.000;4 359;Точка продаж 22
01.05.2022;2022-05-01 13:00:00.000;1 384;Точка продаж 22
01.05.2022;2022-05-01 13:30:00.000;6 187;Точка продаж 22
01.05.2022;2022-05-01 14:00:00.000;4 176,5;Точка продаж 22
01.05.2022;2022-05-01 14:30:00.000;3 860,5;Точка продаж 22
01.05.2022;2022-05-01 15:00:00.000;3 678;Точка продаж 22
01.05.2022;2022-05-01 15:30:00.000;3 855;Точка продаж 22
01.05.2022;2022-05-01 16:00:00.000;5 932,5;Точка продаж 22
01.05.2022;2022-05-01 16:30:00.000;1 977,5;Точка продаж 22
01.05.2022;2022-05-01 17:00:00.000;1 258,5;Точка продаж 22
01.05.2022;2022-05-01 17:30:00.000;2 354;Точка продаж 22
01.05.2022;2022-05-01 18:00:00.000;1 098,5;Точка продаж 22
01.05.2022;2022-05-01 18:30:00.000;1 386;Точка продаж 22
01.05.2022;2022-05-01 19:00:00.000;1 240;Точка продаж 22
01.05.2022;2022-05-01 19:30:00.000;1 416,5;Точка продаж 22
01.05.2022;2022-05-01 20:00:00.000;2 143;Точка продаж 22
01.05.2022;2022-05-01 20:30:00.000;633;Точка продаж 22
01.05.2022;2022-05-01 21:00:00.000;1 752,5;Точка продаж 22
01.05.2022;2022-05-01 21:30:00.000;1 190,5;Точка продаж 22
01.05.2022;2022-05-01 22:00:00.000;2 719;Точка продаж 22
01.05.2022;2022-05-01 22:30:00.000;1 481;Точка продаж 22
01.05.2022;2022-05-01 23:00:00.000;2 502,5;Точка продаж 22
01.05.2022;2022-05-01 23:30:00.000;773,5;Точка продаж 22
01.05.2022;2022-05-01 00:00:00.000;8 760,5;Точка продаж 23
01.05.2022;2022-05-01 00:30:00.000;7 382;Точка продаж 23
01.05.2022;2022-05-01 01:00:00.000;2 960,5;Точка продаж 23
01.05.2022;2022-05-01 01:30:00.000;7 682;Точка продаж 23
